1st_key,2nd_key,mean,std,count
 , ,462.9233579420047,1149.538854632081,13139
 ,a,222.1628698741873,245.86153760872025,1050053
 ,b,299.7756165619296,316.51662444609974,427897
 ,c,303.09451653591464,299.3455605253067,418604
 ,d,303.46954674460534,316.1221348094251,295617
 ,e,318.1465087252208,331.0658300213703,210711
 ,f,293.81918601587415,344.9310523500811,398509
 ,g,321.40434581637123,316.29954385993017,246628
 ,h,280.65846430092,305.07567800324847,540210
 ,i,243.60755639439355,281.6302700890498,671299
 ,j,331.1545689615367,326.20632622604126,43314
 ,k,270.7428195962994,303.37712278595075,95120
 ,l,256.0404877615782,292.34562513845447,270378
 ,m,259.5810282871762,268.8947724387706,414923
 ,n,266.3582865540382,305.20987965082116,260621
 ,o,260.25845062400776,302.0154916348614,561852
 ,p,316.970596494612,320.1463174764496,352543
 ,q,456.5031878238693,455.9682465925507,36859
 ,r,316.02176435175403,331.7754379486277,250823
 ,s,269.9313878830608,279.16871745037326,584372
 ,t,229.26172118300667,265.62124794896425,1520431
 ,u,319.979310452151,368.99297114937224,128519
 ,v,396.50034849276875,380.43709255052687,57390
 ,w,258.68018354356644,301.8421793637822,755352
 ,x,558.058962264151,606.5091036904314,848
 ,y,284.48817105484846,273.9732639348322,326445
 ,z,453.6373008434864,407.5994113658694,1067
a, ,160.92620575651497,133.28547497694714,308520
a,a,264.5473008523624,569.298352199361,9503
a,b,231.85868802966732,232.14610689148333,84133
a,c,248.38022394508042,201.36567271070257,167809
a,d,230.76887031640427,187.77939066442036,163683
a,e,315.98819468415604,287.91619527208,14485
a,f,262.6904149562293,252.4724463383525,40438
a,g,252.02688448234528,233.0648347523177,87597
a,h,234.40850612986227,252.9886706061669,13214
a,i,183.00375730587254,194.68734591250623,172464
a,j,322.72375583203734,329.40981771998304,5144
a,k,181.5273546125015,200.0161093640724,66168
a,l,170.73633740045298,180.8186601561152,328488
a,m,175.35815883936584,164.2046550714668,133720
a,n,160.93727370241456,177.52508421780058,685215
a,o,256.82836275106513,248.6873009849085,6572
a,p,226.1762114537445,226.4455089628967,61971
a,q,445.9001883239171,381.14380095023483,1062
a,r,198.34074416054708,192.8082776732247,415878
a,s,182.99828284791394,155.36199135687127,406487
a,t,193.29488683850178,191.1813830861609,479801
a,u,253.61967059922907,251.30900607609303,17122
a,v,205.45954353519696,239.46959527162358,187090
a,w,254.15140425531914,209.6255190086706,23500
a,x,379.7844490216272,269.22253717663244,9710
a,y,194.7985777894832,191.0704742030825,243002
a,z,443.77378400659524,354.93586176699716,6065
b, ,245.3278597493257,199.27375041528688,12606
b,a,161.13677204376026,149.20402691237933,117641
b,b,186.19291419209503,155.31043055497122,4883
b,c,317.208904109589,301.48458998675727,584
b,d,315.2704402515723,329.62541763441754,1749
b,e,159.9935331596109,119.5932152654268,293188
b,f,348.22289156626505,310.33185319777266,166
b,g,191.6424870466321,363.5698601969516,579
b,h,230.91752577319588,300.92696754342694,194
b,i,210.80508498384606,192.64122409979484,35595
b,j,298.5072463768116,279.6008511720406,69
b,k,303.32850241545896,267.3047128286654,414
b,l,201.8608891075679,177.3544472506562,75199
b,m,274.4834710743802,225.39233138055764,242
b,n,163.13468414779499,337.53316071634174,839
b,o,188.36361928145513,201.97476397240933,79828
b,p,320.1177047572339,768.6193699702425,2039
b,q,166.31578947368422,79.15740481371344,19
b,r,259.90912178047125,224.95376296306677,38282
b,s,305.0109999172939,267.36577850400823,12091
b,t,324.26425313568984,285.09219217202684,3508
b,u,209.52715986456474,189.86863782639006,54934
b,v,394.02218501465046,382.66001340096676,2389
b,w,282.2590909090909,256.82416657463733,440
b,x,300.5,140.48534917682105,16
b,y,198.11415268523723,159.1467263872949,37371
b,z,336.1666666666667,360.45497344160464,12
c, ,217.3547818012999,249.8224697444626,21540
c,a,161.97371662862534,122.57006032071459,215117
c,b,423.22727272727275,1279.4541750765243,132
c,c,188.30859953772298,144.02625662061737,16873
c,d,295.48776223776224,484.3976252983011,572
c,e,187.51055539114137,155.89346590298044,223014
c,f,329.2977941176471,334.7255002940581,1088
c,g,322.246875,322.2734746740444,640
c,h,161.5721595749117,183.7372037405404,167871
c,i,196.85397723204696,199.9743774866333,83802
c,j,255.3819789939193,216.45369971882317,1809
